id,name,with_advance_payment,advance_account_id/id
purchase_type_fondo_fijo,Fondo Fijo / Caja Chica,True,sipreco_account_chart.account_account_10
purchase_type_compra_directa,Compra Directa,,
purchase_type_lprivada,Licitación Privada,,
purchase_type_lpublica,Licitación Pública,,
purchase_type_concurso_precios,Concurso de Precios,,
purchase_type_sueldos,Sueldos,,
purchase_type_anticipo_gasto,Anticipo de Gastos,True,sipreco_account_chart.account_account_401
purchase_type_subsidio_con_cargo,Subsidio con Cargo de Rendición,True,sipreco_account_chart.account_account_409
purchase_type_subsidio_sin_cargo,Subsidio sin Cargo de Rendición,,
purchase_type_compra_directa_con_autorizacion,Compra Directa con autorización de cuerpo,,
